benchmark	vcnf_status	vcnf_time	vampire_status	vampire_time	cvc4_status	cvc4_time	z3_status	z3_time
UF_grasshopper_instantiated_filter_loop_check_heap_access_27_8.smt2	Unsatisfiable	0.0246	Unsatisfiable	0.022802	unsat	0.0300	0.0300	unsat	0.04212
UF_grasshopper_instantiated_filter_loop_check_heap_access_27_8_1.smt2	Unsatisfiable	0.0273	Unsatisfiable	0.0274429	unsat	0.0275	0.0275	unsat	0.042246
UF_grasshopper_instantiated_filter_loop_check_heap_access_29_8.smt2	Unsatisfiable	0.0311	Unsatisfiable	0.0308209	unsat	0.0283	0.0283	unsat	0.041702
UF_grasshopper_instantiated_filter_loop_invariant_35_3.smt2	Unsatisfiable	0.2082	Unsatisfiable	2.83482	unsat	0.2695	0.2695	unsat	0.0997559
UF_grasshopper_instantiated_filter_postcondition_of_filter_36_1.smt2	Unsatisfiable	0.2215	Unsatisfiable	0.224489	unsat	0.3339	0.3339	unsat	0.0726169
UF_grasshopper_instantiated_find_check_heap_access_17_2.smt2	Unsatisfiable	0.0220	Unsatisfiable	0.0226389	unsat	0.0224	0.0224	unsat	0.0406941
UF_grasshopper_instantiated_find_check_heap_access_20_4.smt2	Unsatisfiable	0.0621	Unsatisfiable	0.0840769	unsat	0.0908	0.0908	unsat	0.0656949
UF_grasshopper_instantiated_find_last_check_heap_access_14_2.smt2	Unsatisfiable	0.0205	Unsatisfiable	0.0200171	unsat	0.0175	0.0175	unsat	0.0395909
UF_grasshopper_instantiated_find_last_postcondition_of_find_last_18_4.smt2	Unsatisfiable	0.0860	Unsatisfiable	0.0800811	unsat	0.1434	0.1434	unsat	0.061043
UF_grasshopper_instantiated_find_last_postcondition_of_find_last_20_4.smt2	Unsatisfiable	0.0281	Unsatisfiable	0.0304	unsat	0.0323	0.0323	unsat	0.0432329
UF_grasshopper_instantiated_find_last_postcondition_of_find_last_22_1.smt2	Unsatisfiable	0.0183	Unsatisfiable	0.0152979	unsat	0.0096	0.0096	unsat	0.0349309
UF_grasshopper_instantiated_find_last_precondition_of_find_last_17_10.smt2	Unsatisfiable	0.0276	Unsatisfiable	0.0242381	unsat	0.0191	0.0191	unsat	0.04017
UF_grasshopper_instantiated_find_postcondition_of_find_24_1.smt2	Unsatisfiable	3.0242	Unsatisfiable	3.05453	unsat	0.7778	0.7778	unsat	0.112972
UF_grasshopper_instantiated_find_precondition_of_find_19_11.smt2	Unsatisfiable	0.0342	Unsatisfiable	0.037215	unsat	0.0329	0.0329	unsat	0.0444141
UF_grasshopper_instantiated_insert_check_heap_access_25_4.smt2	Unsatisfiable	0.0433	Unsatisfiable	0.0501159	unsat	0.0694	0.0694	unsat	0.0963269
UF_grasshopper_instantiated_insert_check_heap_access_25_4_1.smt2	Unsatisfiable	0.0316	Unsatisfiable	0.0316741	unsat	0.0647	0.0647	unsat	0.0448521
UF_grasshopper_instantiated_insert_check_heap_access_26_4.smt2	Unsatisfiable	0.0391	Unsatisfiable	0.11669	unsat	0.0768	0.0768	unsat	0.0471579
UF_grasshopper_instantiated_insert_invariant_19_4.smt2	Unsatisfiable	0.0252	Unsatisfiable	0.0241599	unsat	0.0274	0.0274	unsat	0.0458659
UF_grasshopper_instantiated_insert_loop_check_heap_access_23_6.smt2	Unsatisfiable	0.0250	Unsatisfiable	0.0233989	unsat	0.0238	0.0238	unsat	0.040753
UF_grasshopper_instantiated_insert_loop_invariant_24_5.smt2	Unsatisfiable	0.0435	Unsatisfiable	0.052376	unsat	0.0531	0.0531	unsat	0.0460899
UF_grasshopper_instantiated_insert_postcondition_of_insert_14_4.smt2	Unsatisfiable	0.0275	Unsatisfiable	0.033983	unsat	0.0288	0.0288	unsat	0.0431259
UF_grasshopper_instantiated_insert_postcondition_of_insert_27_4.smt2	Unsatisfiable	16.3025	Unsatisfiable	3.43243	unsat	1.9121	1.9121	unsat	0.418725
UF_grasshopper_instantiated_insert_postcondition_of_insert_28_3.smt2	Unsatisfiable	0.0152	Unsatisfiable	0.0153329	unsat	0.0093	0.0093	unsat	0.046841
UF_grasshopper_instantiated_insert_postcondition_of_insert_60_1.smt2	Unsatisfiable	0.0183	Unsatisfiable	0.015454	unsat	0.0097	0.0097	unsat	0.0350171
UF_grasshopper_instantiated_merge_postcondition_of_merge_63_1.smt2	Unsatisfiable	0.0152	Unsatisfiable	0.015414	unsat	0.0096	0.0096	unsat	0.0347551
UF_grasshopper_instantiated_merge_postcondition_of_merge_65_1.smt2	Unsatisfiable	0.0179	Unsatisfiable	0.0180959	unsat	0.0094	0.0094	unsat	0.035032
UF_grasshopper_instantiated_merge_sort_postcondition_of_merge_sort_103_1.smt2	Unsatisfiable	0.0177	Unsatisfiable	0.0194229	unsat	0.0092	0.0092	unsat	0.035055
UF_grasshopper_instantiated_merge_sort_precondition_of_split_97_12.smt2	Unsatisfiable	0.0186	Unsatisfiable	0.0221099	unsat	0.0152	0.0152	unsat	0.0389289
UF_grasshopper_instantiated_pull_strands_check_heap_access_72_2.smt2	Unsatisfiable	0.0237	Unsatisfiable	0.02296	unsat	0.0174	0.0174	unsat	0.039747
UF_grasshopper_instantiated_pull_strands_check_heap_access_77_2.smt2	Unsatisfiable	0.0241	Unsatisfiable	0.0209709	unsat	0.0196	0.0196	unsat	0.0402619
UF_grasshopper_instantiated_pull_strands_postcondition_of_pull_strands_103_1.smt2	Unsatisfiable	0.0154	Unsatisfiable	0.0152871	unsat	0.0096	0.0096	unsat	0.0348991
UF_grasshopper_instantiated_rec_concat_check_heap_access_30_2.smt2	Unsatisfiable	0.0236	Unsatisfiable	0.0227219	unsat	0.0434	0.0434	unsat	0.042828
UF_grasshopper_instantiated_rec_concat_postcondition_of_rec_concat_31_1.smt2	Unsatisfiable	0.1546	Unsatisfiable	0.711505	unsat	0.3050	0.3050	unsat	0.0927131
UF_grasshopper_instantiated_rec_concat_precondition_of_find_last_29_7.smt2	Unsatisfiable	0.0231	Unsatisfiable	0.0202331	unsat	0.0180	0.0180	unsat	0.040173
UF_grasshopper_instantiated_rec_copy_loop_check_heap_access_43_4.smt2	Unsatisfiable	0.0205	Unsatisfiable	0.02328	unsat	0.0203	0.0203	unsat	0.040385
